h;form1;form2;form3;form4;form5
0.5;11,485632;12,147782;11,816707;12,334287;12,580413
0.25;6,769727;8,278358;7,524043;6,093155;5,073549
0.125;1,608104;3,136212;2,372158;0,654863;0,187425
0.0625;0,177496;1,07862;0,628058;0,046691;0,00357
0.03125;0,075323;0,393875;0,159276;0,003015;0,000059
0.015625;0,078527;0,15845;0,039961;0,00019;0,000001
0.0078125;0,049395;0,069393;0,009999;0,000012;0
0.00390625;0,027215;0,032216;0,0025;0,000001;0
0.00195312;0,014235;0,015485;0,000625;0;0
0.000976562;0,007274;0,007587;0,000156;0;0
0.000488281;0,003676;0,003754;0,000039;0;0
0.000244141;0,001848;0,001867;0,00001;0;0
0.00012207;0,000926;0,000931;0,000002;0;0
6.10352e-05;0,000464;0,000465;0,000001;0;0
3.05176e-05;0,000232;0,000232;0;0;0
1.52588e-05;0,000116;0,000116;0;0;0
7.62939e-06;0,000058;0,000058;0;0;0
3.8147e-06;0,000029;0,000029;0;0;0
1.90735e-06;0,000015;0,000015;0;0;0
9.53674e-07;0,000007;0,000007;0;0;0
4.76837e-07;0,000004;0,000004;0;0;0
2.38419e-07;0,000002;0,000002;0;0;0
1.19209e-07;0,000001;0,000001;0;0;0
5.96046e-08;0;0;0;0;0
2.98023e-08;0;0;0;0;0
1.49012e-08;0;0;0;0;0
7.45058e-09;0;0;0;0;0
3.72529e-09;0;0;0;0;0
1.86265e-09;0;0;0;0;0
9.31323e-10;0;0;0;0;0
4.65661e-10;0;0;0;0;0
2.32831e-10;0;0;0;0;0
1.16415e-10;0;0;0;0;0
5.82077e-11;0;0;0;0;0
2.91038e-11;0;0;0;0;0
1.45519e-11;0,000001;0,000001;0,000001;0,000001;0,000001
7.27596e-12;0,000001;0,000001;0,000001;0,000002;0,000002
3.63798e-12;0,000003;0,000003;0,000003;0,000004;0,000005
1.81899e-12;0,000005;0,000005;0,000005;0,000008;0,000009
9.09495e-13;0,00001;0,00001;0,00001;0,000015;0,000018
4.54747e-13;0,00002;0,00002;0,00002;0,00003;0,000036
